epoch,epoch_time_seconds,train_loss,train_acc,test_loss,test_acc
1,13.930619716644287,0.4456734053293864,0.8316666666666667,1.487698605212354,0.5833333333333334
2,14.168458223342896,0.18097144216299058,0.9358333333333333,0.3227618156497677,0.8866666666666667
3,14.847442865371704,0.11968159958720208,0.9625,0.6197634216149648,0.7866666666666666
4,14.305902004241943,0.08699327642718951,0.9741666666666666,0.7059107053745538,0.79
5,13.73826003074646,0.061538534065087636,0.9808333333333333,0.18371060927708943,0.9333333333333333
6,13.538367986679077,0.06735364938775698,0.9783333333333334,0.20996186514695486,0.9133333333333333
7,13.620688438415527,0.036393806686004004,0.9925,0.35104891856511433,0.8966666666666666
8,13.83450198173523,0.036319955848157406,0.9908333333333333,0.2230142002304395,0.9166666666666666
9,14.081764936447144,0.01802781648002565,0.9983333333333333,0.22178889761368434,0.9333333333333333
10,14.124781847000122,0.01860110618174076,0.9991666666666666,0.226213635156552,0.92
11,13.973881006240845,0.015597005231926838,0.9983333333333333,0.19758236626784006,0.9266666666666666
12,13.874640703201294,0.012695735078305006,0.9983333333333333,0.2555026990175247,0.93
13,13.77096700668335,0.029185287977258365,0.99,0.3390913478533427,0.89
14,13.787510633468628,0.036855386483172575,0.9891666666666666,0.23766687487562496,0.9366666666666666
15,13.885257482528687,0.009894995084032417,0.9991666666666666,0.201231425901254,0.9366666666666666
16,13.882609128952026,0.013278754567727447,0.9975,0.21358452439308168,0.9266666666666666
17,13.961321353912354,0.01081610758168002,0.9975,0.22675249845410386,0.91
18,13.949913024902344,0.04002576754428446,0.9883333333333333,0.273949054479599,0.9266666666666666
19,13.834066390991211,0.023600308261811732,0.9941666666666666,0.25757581293582915,0.9133333333333333
20,13.880672454833984,0.012883503284150114,0.9966666666666667,0.19646926313638688,0.93
